BEOGRAD;Prolece;17.04.2022,14:55;14;2.035.586;44.606.953;Sa povredjenim;SN SA NAJMANjE DVA VOZILA – SKRETANjE ILI PRELAZAK
BEOGRAD;Prolece;21.04.2022,19:50;19;20.355.766;44.606.808;Sa povredjenim;SN SA NAJMANjE DVA VOZILA – BEZ SKRETANjA
BEOGRAD;Prolece;28.04.2022,11:50;11;20.371.449;44.624.374;Sa mat.stetom;SN SA NAJMANjE DVA VOZILA – SKRETANjE ILI PRELAZAK
BEOGRAD;Prolece;01.05.2022,10:30;10;20.400.329;44.601.905;Sa povredjenim;SN SA NAJMANjE DVA VOZILA – BEZ SKRETANjA
BEOGRAD;Prolece;01.05.2022,10:30;10;20.400.329;44.601.905;Sa povredjenim;SN SA NAJMANjE DVA VOZILA – BEZ SKRETANjA
BEOGRAD;Prolece;04.05.2022,08:00;08;2.038.196;4.463.321;Sa povredjenim;SN SA NAJMANjE DVA VOZILA – SKRETANjE ILI PRELAZAK
BEOGRAD;Prolece;06.05.2022,19:00;19;2.046.122;4.459.609;Sa mat.stetom;SN SA PARKIRANIM VOZILIMA
BEOGRAD;Prolece;08.05.2022,18:30;18;203.501.897;446.327.933;Sa mat.stetom;SN SA NAJMANjE DVA VOZILA – BEZ SKRETANjA
BEOGRAD;Prolece;08.05.2022,19:00;19;20.327.746;44.575.291;Sa mat.stetom;SN SA JEDNIM VOZILOM
BEOGRAD;Prolece;10.05.2022,13:00;13;20.412.241;44.636.863;Sa mat.stetom;SN SA JEDNIM VOZILOM
BEOGRAD;Prolece;10.05.2022,09:30;09;204.126;4.457.899;Sa mat.stetom;SN SA NAJMANjE DVA VOZILA – SKRETANjE ILI PRELAZAK
BEOGRAD;Prolece;11.05.2022,06:40;06;20.378.405;44.628.935;Sa povredjenim;SN SA NAJMANjE DVA VOZILA – SKRETANjE ILI PRELAZAK
BEOGRAD;Prolece;13.05.2022,01:20;01;20.415.619;44.588.236;Sa povredjenim;SN SA JEDNIM VOZILOM
BEOGRAD;Prolece;15.05.2022,16:30;16;20.396.528;44.523.235;Sa povredjenim;SN SA NAJMANjE DVA VOZILA – BEZ SKRETANjA
BEOGRAD;Prolece;18.05.2022,16:30;16;20.416.229;44.586.527;Sa mat.stetom;SN SA NAJMANjE DVA VOZILA – BEZ SKRETANjA
BEOGRAD;Prolece;20.05.2022,22:10;22;20.431.516;44.572.737;Sa povredjenim;SN SA PEŠACIMA
BEOGRAD;Prolece;20.05.2022,12:30;12;20.360.642;44.620.411;Sa mat.stetom;SN SA NAJMANjE DVA VOZILA – SKRETANjE ILI PRELAZAK
BEOGRAD;Prolece;21.05.2022,12:40;12;2.033.384;4.459.978;Sa povredjenim;SN SA PEŠACIMA
BEOGRAD;Prolece;21.05.2022,09:00;09;20.427.644;44.646.493;Sa mat.stetom;SN SA JEDNIM VOZILOM
